        0.000000,        0.550000,        1.352834,        3.300000,        0.000000,        0.000000,        1.011422
        1.000000,        0.148583,        2.330113,        3.300000,        0.000000,        0.000000,        4.571989
        2.000000,       -1.810072,        7.006566,        3.300000,        0.000000,        0.000000,       11.898366
        3.000000,      -22.275319,       17.417382,        3.300000,        0.000000,        0.000000,        6.437434
        4.000000,     -268.725609,       19.734090,        3.300000,        0.000000,        0.000000,      -24.574010
        5.000000,    -4214.582166,      162.284899,        3.300000,        0.000000,        0.000000,    31341.647744
        6.000000,   -91100.371270,    35115.982424,        3.300000,        0.000000,        0.000000, 15393363.995339
        7.000000, -2719266.519693, 15456192.811850,        3.300000,        0.000000,        0.000000,****************
        8.000000,****************,****************,        3.300000,        0.000000,        0.000000,****************
        9.000000,****************,****************,        3.300000,        0.000000,        0.000000,****************
